,Phase,SetSize,FBand,Cluster,Participant,Power
213,id,1,theta,Occipital,T18M1,1.807432194046756
214,id,1,theta,Occipital,T23F1,1.1614875789708001
215,id,1,theta,Occipital,T23F2,0.9802092234812414
216,id,1,theta,Occipital,T25F1,1.3603670892836568
217,id,1,theta,Occipital,T9F2,1.584012046355865
218,id,1,theta,Occipital,W10F2,0.9328908231102985
219,id,1,theta,Occipital,W17M2,1.6402210990494936
220,id,1,theta,All,F12F2,1.94579583129355
221,id,1,theta,All,F12M1,7.490428876166473
222,id,1,theta,All,F19M1,1.8039611191579366
223,id,1,theta,All,F26F2,3.0893039059335994
224,id,1,theta,All,F5M1,0.916096913743621
225,id,1,theta,All,M22F2,1.827662453956464
226,id,1,theta,All,M8M1,1.426053473948977
227,id,1,theta,All,M8M2,1.6326656837461082
228,id,1,theta,All,S20M1,1.913896454463188
229,id,1,theta,All,S21F1,2.3905338015000077
230,id,1,theta,All,T11F1,1.1887372116749368
231,id,1,theta,All,T16F2,1.6896739261201026
232,id,1,theta,All,T18F2,0.9012082311837212
233,id,1,theta,All,T18M1,2.4026006024664133
234,id,1,theta,All,T23F1,0.9113823814987403
235,id,1,theta,All,T23F2,0.8048971247911901
236,id,1,theta,All,T25F1,3.5986423496900692
237,id,1,theta,All,T9F2,5.045535097955386
238,id,1,theta,All,W10F2,1.108498662944364
239,id,1,theta,All,W17M2,2.0293421376471557
240,id,1,alpha,Frontal,F12F2,1.6851935096438995
241,id,1,alpha,Frontal,F12M1,1.6517911884857823
242,id,1,alpha,Frontal,F19M1,1.1877065241914646
243,id,1,alpha,Frontal,F26F2,3.320928913002357
244,id,1,alpha,Frontal,F5M1,1.1950816391654133
245,id,1,alpha,Frontal,M22F2,1.0036463001341656
246,id,1,alpha,Frontal,M8M1,1.0302243550886607
247,id,1,alpha,Frontal,M8M2,1.5209797367253683
248,id,1,alpha,Frontal,S20M1,1.5110559290602001
249,id,1,alpha,Frontal,S21F1,1.6230667388839777
250,id,1,alpha,Frontal,T11F1,0.9771284816983892
251,id,1,alpha,Frontal,T16F2,1.3173484315036397
252,id,1,alpha,Frontal,T18F2,0.7412833686655524
253,id,1,alpha,Frontal,T18M1,1.8069620318722865
254,id,1,alpha,Frontal,T23F1,0.8739006549255035
255,id,1,alpha,Frontal,T23F2,0.6572585312538437
256,id,1,alpha,Frontal,T25F1,1.617616508786757
257,id,1,alpha,Frontal,T9F2,4.660804097376571
258,id,1,alpha,Frontal,W10F2,1.069536702796954
259,id,1,alpha,Frontal,W17M2,1.4078724776630742
260,id,1,alpha,Central,F12F2,1.3891187232145326
261,id,1,alpha,Central,F12M1,1.3158547590838714
262,id,1,alpha,Central,F19M1,1.458674444860149
263,id,1,alpha,Central,F26F2,1.7545709348409515
264,id,1,alpha,Central,F5M1,1.2113035396149212
265,id,1,alpha,Central,M22F2,0.8290932368557077
266,id,1,alpha,Central,M8M1,1.3658991616424911
267,id,1,alpha,Central,M8M2,1.1430516060631741
268,id,1,alpha,Central,S20M1,1.1976291297251727
269,id,1,alpha,Central,S21F1,1.4723377722655353
270,id,1,alpha,Central,T11F1,0.942123431324707
271,id,1,alpha,Central,T16F2,1.0402509137882778
272,id,1,alpha,Central,T18F2,1.0956648072673967
273,id,1,alpha,Central,T18M1,1.4322737117353646
274,id,1,alpha,Central,T23F1,1.3259763023006366
275,id,1,alpha,Central,T23F2,0.9983523571648169
276,id,1,alpha,Central,T25F1,1.2910847269775052
277,id,1,alpha,Central,T9F2,1.6035617976115553
278,id,1,alpha,Central,W10F2,0.8334002355042764
279,id,1,alpha,Central,W17M2,0.9835200453320214
280,id,1,alpha,Temporal,F12F2,0.9075716170035437
281,id,1,alpha,Temporal,F12M1,1.181492774646352
282,id,1,alpha,Temporal,F19M1,1.2773762746562842
283,id,1,alpha,Temporal,F26F2,2.678200686116703
284,id,1,alpha,Temporal,F5M1,1.2076510869236683
285,id,1,alpha,Temporal,M22F2,1.055497212962037
286,id,1,alpha,Temporal,M8M1,1.422629503303633
287,id,1,alpha,Temporal,M8M2,1.125722845648608
288,id,1,alpha,Temporal,S20M1,1.1664408642495676
289,id,1,alpha,Temporal,S21F1,1.353187241704167
290,id,1,alpha,Temporal,T11F1,1.077015076180748
291,id,1,alpha,Temporal,T16F2,1.4527130619139885
292,id,1,alpha,Temporal,T18F2,0.8621142825733544
293,id,1,alpha,Temporal,T18M1,1.3458706425180076
294,id,1,alpha,Temporal,T23F1,1.342102002097814
295,id,1,alpha,Temporal,T23F2,1.0287214572509888
296,id,1,alpha,Temporal,T25F1,1.3360966821482891
297,id,1,alpha,Temporal,T9F2,1.580535728880963
298,id,1,alpha,Temporal,W10F2,1.1104620621552126
299,id,1,alpha,Temporal,W17M2,1.6404185994189808
300,id,1,alpha,Parietal,F12F2,1.036056794052881
301,id,1,alpha,Parietal,F12M1,1.1538571233144261
302,id,1,alpha,Parietal,F19M1,1.2330329891668512
303,id,1,alpha,Parietal,F26F2,1.865934449281024
304,id,1,alpha,Parietal,F5M1,1.17609899749464
305,id,1,alpha,Parietal,M22F2,0.8514636988114945
306,id,1,alpha,Parietal,M8M1,1.3634824617705767
307,id,1,alpha,Parietal,M8M2,0.9495491689687855
308,id,1,alpha,Parietal,S20M1,1.1530580612233983
309,id,1,alpha,Parietal,S21F1,1.585796573804384
310,id,1,alpha,Parietal,T11F1,0.9913602195836979
311,id,1,alpha,Parietal,T16F2,1.0305569884255061
312,id,1,alpha,Parietal,T18F2,1.0601750315995198
313,id,1,alpha,Parietal,T18M1,1.2230875114874287
314,id,1,alpha,Parietal,T23F1,1.5491557939659462
315,id,1,alpha,Parietal,T23F2,1.0201950576990089
316,id,1,alpha,Parietal,T25F1,1.292109769810646
317,id,1,alpha,Parietal,T9F2,1.4793908012936867
318,id,1,alpha,Parietal,W10F2,0.8145413433125884
319,id,1,alpha,Parietal,W17M2,0.9963861216915804
320,id,1,alpha,Occipital,F12F2,0.9464345080799849
321,id,1,alpha,Occipital,F12M1,0.8839040178842794
322,id,1,alpha,Occipital,F19M1,1.0812759924716613
323,id,1,alpha,Occipital,F26F2,1.9443855672205967
324,id,1,alpha,Occipital,F5M1,1.1272921306773456
325,id,1,alpha,Occipital,M22F2,0.866132790431713
326,id,1,alpha,Occipital,M8M1,1.4412297835816037
327,id,1,alpha,Occipital,M8M2,0.8331935145650915
328,id,1,alpha,Occipital,S20M1,1.2647223541193209
329,id,1,alpha,Occipital,S21F1,1.908571995886004
330,id,1,alpha,Occipital,T11F1,0.9636508607977372
331,id,1,alpha,Occipital,T16F2,0.9177480734750079
332,id,1,alpha,Occipital,T18F2,0.934014579056321
333,id,1,alpha,Occipital,T18M1,1.4348798221672734
334,id,1,alpha,Occipital,T23F1,1.688426207654812
335,id,1,alpha,Occipital,T23F2,0.8245822409171125
336,id,1,alpha,Occipital,T25F1,1.1736384190533038
337,id,1,alpha,Occipital,T9F2,1.4866537840659624
338,id,1,alpha,Occipital,W10F2,0.703493428921298
339,id,1,alpha,Occipital,W17M2,1.0779574624064954
340,id,1,alpha,All,F12F2,1.3065747420172067
341,id,1,alpha,All,F12M1,1.3097340774371038
342,id,1,alpha,All,F19M1,1.2592001725983089
343,id,1,alpha,All,F26F2,2.330021915780499
344,id,1,alpha,All,F5M1,1.1868984800620779
345,id,1,alpha,All,M22F2,0.916226559496113
346,id,1,alpha,All,M8M1,1.2847233240416092
347,id,1,alpha,All,M8M2,1.1712751398057852
348,id,1,alpha,All,S20M1,1.280412833456725
349,id,1,alpha,All,S21F1,1.5670266486915285
350,id,1,alpha,All,T11F1,0.9703385068693495
351,id,1,alpha,All,T16F2,1.1364370699589745
352,id,1,alpha,All,T18F2,0.9727969822778089
353,id,1,alpha,All,T18M1,1.4777852370518942
354,id,1,alpha,All,T23F1,1.307581010898068
355,id,1,alpha,All,T23F2,0.8879586947870274
356,id,1,alpha,All,T25F1,1.374260407372684
357,id,1,alpha,All,T9F2,2.4269446143224855
358,id,1,alpha,All,W10F2,0.9048396985945436
359,id,1,alpha,All,W17M2,1.1469166238537103
360,id,1,beta,Frontal,F12F2,2.0000141863165726
361,id,1,beta,Frontal,F12M1,1.173968338487763
362,id,1,beta,Frontal,F19M1,1.0765244144405166
363,id,1,beta,Frontal,F26F2,1.3081771046591197
364,id,1,beta,Frontal,F5M1,1.1983018538246635
365,id,1,beta,Frontal,M22F2,1.2675923677212206
366,id,1,beta,Frontal,M8M1,1.1962323897690672
367,id,1,beta,Frontal,M8M2,0.9863819258076739
368,id,1,beta,Frontal,S20M1,1.2839145812262824
369,id,1,beta,Frontal,S21F1,1.312720186728765
370,id,1,beta,Frontal,T11F1,1.2093727929424773
371,id,1,beta,Frontal,T16F2,1.1082363729716407
372,id,1,beta,Frontal,T18F2,1.2790877755601118
373,id,1,beta,Frontal,T18M1,1.2946795715862782
374,id,1,beta,Frontal,T23F1,1.2454089325338045
375,id,1,beta,Frontal,T23F2,1.030559651057577
376,id,1,beta,Frontal,T25F1,1.4442706681773778
377,id,1,beta,Frontal,T9F2,1.5308241125502215
378,id,1,beta,Frontal,W10F2,1.0726017829677963
379,id,1,beta,Frontal,W17M2,1.0480072888197705
380,id,1,beta,Central,F12F2,2.0977701991745437
381,id,1,beta,Central,F12M1,0.9154292852242962
382,id,1,beta,Central,F19M1,1.1015400755724256
383,id,1,beta,Central,F26F2,1.0650075993828438
384,id,1,beta,Central,F5M1,1.1648962054016534
385,id,1,beta,Central,M22F2,1.1568627225279735
386,id,1,beta,Central,M8M1,1.1873778343338883
387,id,1,beta,Central,M8M2,0.9728067538348212
388,id,1,beta,Central,S20M1,1.21434825125097
389,id,1,beta,Central,S21F1,1.15727107372749
390,id,1,beta,Central,T11F1,1.1465194262688299
391,id,1,beta,Central,T16F2,0.9634590483285607
392,id,1,beta,Central,T18F2,1.1611020760950899
393,id,1,beta,Central,T18M1,1.2162725451501124
394,id,1,beta,Central,T23F1,1.168155310284843
395,id,1,beta,Central,T23F2,0.9798100907140781
396,id,1,beta,Central,T25F1,1.2577248018335623
397,id,1,beta,Central,T9F2,1.347565361071707
398,id,1,beta,Central,W10F2,0.9319138082083082
399,id,1,beta,Central,W17M2,0.7973086668200196
400,id,1,beta,Temporal,F12F2,1.8348883090102543
401,id,1,beta,Temporal,F12M1,1.1262509834128076
402,id,1,beta,Temporal,F19M1,1.0496934239476254
403,id,1,beta,Temporal,F26F2,0.9709842832092029
404,id,1,beta,Temporal,F5M1,1.2383052802163381
405,id,1,beta,Temporal,M22F2,1.3133366523518482
406,id,1,beta,Temporal,M8M1,1.213528342291398
407,id,1,beta,Temporal,M8M2,1.1034963582971955
408,id,1,beta,Temporal,S20M1,1.2385278909211004
409,id,1,beta,Temporal,S21F1,1.0468396907928066
410,id,1,beta,Temporal,T11F1,1.2170260622279174
411,id,1,beta,Temporal,T16F2,1.0279213306439792
412,id,1,beta,Temporal,T18F2,1.1371267939020233
413,id,1,beta,Temporal,T18M1,1.202436693570278
414,id,1,beta,Temporal,T23F1,1.37033248955658
415,id,1,beta,Temporal,T23F2,1.158691774559946
