,Phase,SetSize,FBand,Cluster,Participant,Power
358,id,1,alpha,All,W10F2,1.9429646442908706e-08
359,id,1,alpha,All,W17M2,4.3538889269814394e-09
360,id,1,beta,Frontal,F12F2,1.5344034556968186e-09
361,id,1,beta,Frontal,F12M1,1.4236081570960469e-09
362,id,1,beta,Frontal,F19M1,7.248252850950982e-10
363,id,1,beta,Frontal,F26F2,1.0895925463764689e-09
364,id,1,beta,Frontal,F5M1,5.301816182714651e-08
365,id,1,beta,Frontal,M22F2,1.803997164078203e-09
366,id,1,beta,Frontal,M8M1,3.554551790718486e-09
367,id,1,beta,Frontal,M8M2,2.652117875386668e-09
368,id,1,beta,Frontal,S20M1,1.236527440612462e-09
369,id,1,beta,Frontal,S21F1,1.86698721794261e-09
370,id,1,beta,Frontal,T11F1,2.175125854699132e-09
371,id,1,beta,Frontal,T16F2,1.2604352488031356e-09
372,id,1,beta,Frontal,T18F2,1.1120160000134307e-09
373,id,1,beta,Frontal,T18M1,1.0139497837711955e-09
374,id,1,beta,Frontal,T23F1,1.7152604318474258e-09
375,id,1,beta,Frontal,T23F2,2.1447275226360588e-09
376,id,1,beta,Frontal,T25F1,1.9239368279749465e-09
377,id,1,beta,Frontal,T9F2,1.47692109433196e-09
378,id,1,beta,Frontal,W10F2,1.882896124052003e-09
379,id,1,beta,Frontal,W17M2,1.1144387109882535e-09
380,id,1,beta,Central,F12F2,1.533740786492362e-09
381,id,1,beta,Central,F12M1,1.0403650212355129e-09
382,id,1,beta,Central,F19M1,7.903768110525824e-10
383,id,1,beta,Central,F26F2,1.0477068835210558e-09
384,id,1,beta,Central,F5M1,5.1789779865311735e-08
385,id,1,beta,Central,M22F2,1.1043764951596505e-09
386,id,1,beta,Central,M8M1,6.116773053071496e-10
387,id,1,beta,Central,M8M2,2.2340780627086098e-09
388,id,1,beta,Central,S20M1,1.0996833510433573e-09
389,id,1,beta,Central,S21F1,7.417919012748366e-10
390,id,1,beta,Central,T11F1,1.8831999222440164e-09
391,id,1,beta,Central,T16F2,1.1312346195542466e-09
392,id,1,beta,Central,T18F2,9.60628897301561e-10
393,id,1,beta,Central,T18M1,1.2229888769195355e-09
394,id,1,beta,Central,T23F1,1.1457521026444804e-09
395,id,1,beta,Central,T23F2,1.2901073537321827e-09
396,id,1,beta,Central,T25F1,1.3516296425915613e-09
397,id,1,beta,Central,T9F2,2.0540181918652574e-09
398,id,1,beta,Central,W10F2,1.556627619189152e-09
399,id,1,beta,Central,W17M2,8.871175086813373e-10
400,id,1,beta,Temporal,F12F2,2.846310663942187e-09
401,id,1,beta,Temporal,F12M1,1.0671431165505019e-09
