,Phase,SetSize,FBand,Cluster,Participant,Power
202,id,1,theta,Occipital,F19M1,2.6535110303033752e-09
203,id,1,theta,Occipital,F26F2,5.6782860988114596e-09
204,id,1,theta,Occipital,F5M1,2.1198085085036873e-06
205,id,1,theta,Occipital,M22F2,5.272607505614613e-09
206,id,1,theta,Occipital,M8M1,3.1107434398412843e-09
207,id,1,theta,Occipital,M8M2,5.703290201512632e-09
208,id,1,theta,Occipital,S20M1,3.001250906526269e-09
209,id,1,theta,Occipital,S21F1,6.422732819952574e-09
210,id,1,theta,Occipital,T11F1,7.357826033361445e-09
211,id,1,theta,Occipital,T16F2,8.10484372884696e-09
212,id,1,theta,Occipital,T18F2,5.916010757249764e-09
213,id,1,theta,Occipital,T18M1,2.2133577084064145e-09
214,id,1,theta,Occipital,T23F1,5.857518730926144e-09
215,id,1,theta,Occipital,T23F2,1.0382900800358645e-08
216,id,1,theta,Occipital,T25F1,5.0584981944167746e-09
217,id,1,theta,Occipital,T9F2,5.291606661375249e-09
218,id,1,theta,Occipital,W10F2,1.8732567945952026e-08
219,id,1,theta,Occipital,W17M2,4.518090543375426e-09
220,id,1,theta,All,F12F2,7.986975553129916e-09
221,id,1,theta,All,F12M1,3.992286068837448e-08
222,id,1,theta,All,F19M1,3.945003560562021e-09
223,id,1,theta,All,F26F2,9.973310241412867e-09
224,id,1,theta,All,F5M1,2.1302720215846037e-06
225,id,1,theta,All,M22F2,1.369281045885556e-08
226,id,1,theta,All,M8M1,7.420979664090382e-09
227,id,1,theta,All,M8M2,2.330752394763901e-08
228,id,1,theta,All,S20M1,7.453588642125423e-09
229,id,1,theta,All,S21F1,1.0871190980733412e-08
230,id,1,theta,All,T11F1,9.83459542029559e-09
231,id,1,theta,All,T16F2,9.310687116799353e-09
232,id,1,theta,All,T18F2,8.065093475060165e-09
233,id,1,theta,All,T18M1,5.130083806969666e-09
234,id,1,theta,All,T23F1,1.4106446366735867e-08
235,id,1,theta,All,T23F2,1.8880493989499746e-08
236,id,1,theta,All,T25F1,2.266481322354208e-08
237,id,1,theta,All,T9F2,2.7848807183205373e-08
238,id,1,theta,All,W10F2,2.3612759503601328e-08
239,id,1,theta,All,W17M2,8.823041395442982e-09
240,id,1,alpha,Frontal,F12F2,3.5512783253077207e-09
241,id,1,alpha,Frontal,F12M1,1.0575291250219515e-08
242,id,1,alpha,Frontal,F19M1,2.395251675863682e-09
243,id,1,alpha,Frontal,F26F2,3.4631833666162485e-09
244,id,1,alpha,Frontal,F5M1,6.048612499890651e-07
245,id,1,alpha,Frontal,M22F2,6.874577595969137e-09
246,id,1,alpha,Frontal,M8M1,2.209351314009044e-09
247,id,1,alpha,Frontal,M8M2,8.370393306983885e-09
248,id,1,alpha,Frontal,S20M1,3.9991856942080396e-09
249,id,1,alpha,Frontal,S21F1,4.1526620183879204e-09
250,id,1,alpha,Frontal,T11F1,5.130292567556167e-09
251,id,1,alpha,Frontal,T16F2,4.37855223712633e-09
252,id,1,alpha,Frontal,T18F2,3.6445281121607145e-09
253,id,1,alpha,Frontal,T18M1,2.4047766026923478e-09
254,id,1,alpha,Frontal,T23F1,3.6861965406725663e-09
255,id,1,alpha,Frontal,T23F2,6.40735018764288e-09
256,id,1,alpha,Frontal,T25F1,1.1808867814011805e-08
257,id,1,alpha,Frontal,T9F2,7.559000323942523e-09
258,id,1,alpha,Frontal,W10F2,1.955691753818754e-08
259,id,1,alpha,Frontal,W17M2,4.604918169894973e-09
260,id,1,alpha,Central,F12F2,2.6263094058987536e-09
261,id,1,alpha,Central,F12M1,6.586329403803638e-09
262,id,1,alpha,Central,F19M1,3.4487454814208294e-09
263,id,1,alpha,Central,F26F2,2.6666522140417312e-09
264,id,1,alpha,Central,F5M1,5.989222623464884e-07
265,id,1,alpha,Central,M22F2,4.9100328874737115e-09
266,id,1,alpha,Central,M8M1,1.167488691726013e-09
267,id,1,alpha,Central,M8M2,5.295805722301839e-09
268,id,1,alpha,Central,S20M1,2.8019466804384147e-09
269,id,1,alpha,Central,S21F1,2.2929984707968064e-09
270,id,1,alpha,Central,T11F1,4.405415197904126e-09
271,id,1,alpha,Central,T16F2,3.9820716399047844e-09
272,id,1,alpha,Central,T18F2,2.987780843848847e-09
273,id,1,alpha,Central,T18M1,1.4740128531548346e-09
274,id,1,alpha,Central,T23F1,2.907705199589455e-09
275,id,1,alpha,Central,T23F2,7.767398194747165e-09
276,id,1,alpha,Central,T25F1,1.0696015999631455e-08
277,id,1,alpha,Central,T9F2,3.1860529780237255e-09
278,id,1,alpha,Central,W10F2,2.0252722336482637e-08
279,id,1,alpha,Central,W17M2,4.169579857392042e-09
280,id,1,alpha,Temporal,F12F2,1.1420573180803499e-09
281,id,1,alpha,Temporal,F12M1,3.458265026658542e-09
282,id,1,alpha,Temporal,F19M1,1.586783041942787e-09
283,id,1,alpha,Temporal,F26F2,2.6969124011257e-09
284,id,1,alpha,Temporal,F5M1,6.060255117672459e-07
285,id,1,alpha,Temporal,M22F2,3.0649493863781953e-09
286,id,1,alpha,Temporal,M8M1,7.053762593089658e-10
287,id,1,alpha,Temporal,M8M2,2.9725811533082034e-09
288,id,1,alpha,Temporal,S20M1,2.5699566779274586e-09
289,id,1,alpha,Temporal,S21F1,1.4459643289076806e-09
290,id,1,alpha,Temporal,T11F1,3.516652560176078e-09
291,id,1,alpha,Temporal,T16F2,4.193470732353353e-09
292,id,1,alpha,Temporal,T18F2,1.7250221591701073e-09
293,id,1,alpha,Temporal,T18M1,1.2923229159933314e-09
294,id,1,alpha,Temporal,T23F1,2.013734235100815e-09
